Date,aapl
1/4/2021,129.41
1/5/2021,131.01
1/6/2021,126.6
1/7/2021,130.92
1/8/2021,132.05
1/11/2021,128.98
1/12/2021,128.8
1/13/2021,130.89
1/14/2021,128.91
1/15/2021,127.14
1/19/2021,127.83
1/20/2021,132.03
1/21/2021,136.87
1/22/2021,139.07
1/25/2021,142.92
1/26/2021,143.16
1/27/2021,142.06
1/28/2021,137.09
1/29/2021,131.96
2/1/2021,134.14
2/2/2021,134.99
2/3/2021,133.94
2/4/2021,137.39
2/5/2021,136.76
2/8/2021,136.91
2/9/2021,136.01
2/10/2021,135.39
2/11/2021,135.13
2/12/2021,135.37
2/16/2021,133.19
2/17/2021,130.84
2/18/2021,129.71
2/19/2021,129.87
2/22/2021,126
2/23/2021,125.86
2/24/2021,125.35
2/25/2021,120.99
2/26/2021,121.26
3/1/2021,127.79
3/2/2021,125.12
3/3/2021,122.06
3/4/2021,120.13
3/5/2021,121.42
3/8/2021,116.36
3/9/2021,121.09
3/10/2021,119.98
3/11/2021,121.96
3/12/2021,121.03
3/15/2021,123.99
3/16/2021,125.57
3/17/2021,124.76
3/18/2021,120.53
3/19/2021,119.99
3/22/2021,123.39
3/23/2021,122.54
3/24/2021,120.09
3/25/2021,120.59
3/26/2021,121.21
3/29/2021,121.39
3/30/2021,119.9
3/31/2021,122.15
4/1/2021,123
4/5/2021,125.9
4/6/2021,126.21
4/7/2021,127.9
4/8/2021,130.36
4/9/2021,133
4/12/2021,131.24
4/13/2021,134.43
4/14/2021,132.03
4/15/2021,134.5
4/16/2021,134.16
4/19/2021,134.84
4/20/2021,133.11
4/21/2021,133.5
4/22/2021,131.94
4/23/2021,134.32
4/26/2021,134.72
4/27/2021,134.39
4/28/2021,133.58
4/29/2021,133.48
4/30/2021,131.46
5/3/2021,132.54
5/4/2021,127.85
5/5/2021,128.1
5/6/2021,129.74
5/7/2021,130.21
5/10/2021,126.85
5/11/2021,125.91
5/12/2021,122.77
5/13/2021,124.97
5/14/2021,127.45
5/17/2021,126.27
5/18/2021,124.85
5/19/2021,124.69
5/20/2021,127.31
5/21/2021,125.43
5/24/2021,127.1
5/25/2021,126.9
5/26/2021,126.85
5/27/2021,125.28
5/28/2021,124.61
6/1/2021,124.28
6/2/2021,125.06
6/3/2021,123.54
6/4/2021,125.89
6/7/2021,125.9
6/8/2021,126.74
6/9/2021,127.13
6/10/2021,126.11
6/11/2021,127.35
6/14/2021,130.48
6/15/2021,129.64
6/16/2021,130.15
6/17/2021,131.79
6/18/2021,130.46
6/21/2021,132.3
6/22/2021,133.98
6/23/2021,133.7
6/24/2021,133.41
6/25/2021,133.11
6/28/2021,134.78
6/29/2021,136.33
6/30/2021,136.96
7/1/2021,137.27
7/2/2021,139.96
7/6/2021,142.02
7/7/2021,144.57
7/8/2021,143.24
7/9/2021,145.11
7/12/2021,144.5
7/13/2021,145.64
7/14/2021,149.15
7/15/2021,148.48
7/16/2021,146.39
7/19/2021,142.45
7/20/2021,146.15
7/21/2021,145.4
7/22/2021,146.8
7/23/2021,148.56
7/26/2021,148.99
7/27/2021,146.77
7/28/2021,144.98
7/29/2021,145.64
7/30/2021,145.86
8/2/2021,145.52
8/3/2021,147.36
8/4/2021,146.95
8/5/2021,147.06
8/6/2021,146.14
8/9/2021,146.09
8/10/2021,145.6
8/11/2021,145.86
8/12/2021,148.89
8/13/2021,149.1
8/16/2021,151.12
8/17/2021,150.19
8/18/2021,146.36
8/19/2021,146.7
8/20/2021,148.19
8/23/2021,149.71
8/24/2021,149.62
8/25/2021,148.36
8/26/2021,147.54
8/27/2021,148.6
8/30/2021,153.12
8/31/2021,151.83
9/1/2021,152.51
9/2/2021,153.65
9/3/2021,154.3
9/7/2021,156.69
9/8/2021,155.11
9/9/2021,154.07
9/10/2021,148.97
9/13/2021,149.55
9/14/2021,148.12
9/15/2021,149.03
9/16/2021,148.79
9/17/2021,146.06
9/20/2021,142.94
9/21/2021,143.43
9/22/2021,145.85
9/23/2021,146.83
9/24/2021,146.92
9/27/2021,145.37
9/28/2021,141.91
9/29/2021,142.83
9/30/2021,141.5
10/1/2021,142.65
10/4/2021,139.14
10/5/2021,141.11
10/6/2021,142
10/7/2021,143.29
10/8/2021,142.9
10/11/2021,142.81
10/12/2021,141.51
10/13/2021,140.91
10/14/2021,143.76
10/15/2021,144.84
10/18/2021,146.55
10/19/2021,148.76
10/20/2021,149.26
10/21/2021,149.48
10/22/2021,148.69
10/25/2021,148.64
10/26/2021,149.32
10/27/2021,148.85
10/28/2021,152.57
10/29/2021,149.8
11/1/2021,148.96
11/2/2021,150.02
11/3/2021,151.49
11/4/2021,150.96
11/5/2021,151.28
11/8/2021,150.44
11/9/2021,150.81
11/10/2021,147.92
11/11/2021,147.87
11/12/2021,149.99
11/15/2021,150
11/16/2021,151
11/17/2021,153.49
11/18/2021,157.87
11/19/2021,160.55
11/22/2021,161.02
11/23/2021,161.41
11/24/2021,161.94
11/26/2021,156.81
11/29/2021,160.24
11/30/2021,165.3
12/1/2021,164.77
12/2/2021,163.76
12/3/2021,161.84
12/6/2021,165.32
12/7/2021,171.18
12/8/2021,175.08
12/9/2021,174.56
12/10/2021,179.45
12/13/2021,175.74
12/14/2021,174.33
12/15/2021,179.3
12/16/2021,172.26
12/17/2021,171.14
12/20/2021,169.75
12/21/2021,172.99
12/22/2021,175.64
12/23/2021,176.28
12/27/2021,180.33
12/28/2021,179.29
12/29/2021,179.38
12/30/2021,178.2
