Date,fdx
3/2/2015,176.8
3/3/2015,176.15
3/4/2015,174.62
3/5/2015,174.82
3/6/2015,173.19
3/9/2015,172.91
3/10/2015,170
3/11/2015,171.56
3/12/2015,173.58
3/13/2015,173.32
3/16/2015,177.32
3/17/2015,175.71
3/18/2015,173.3
3/19/2015,173.85
3/20/2015,172.04
3/23/2015,170.64
3/24/2015,169.16
3/25/2015,165.43
3/26/2015,165.49
3/27/2015,164.59
3/30/2015,166.75
3/31/2015,165.45
4/1/2015,166.24
4/2/2015,166.22
4/6/2015,166.67
4/7/2015,171.16
4/8/2015,171.84
4/9/2015,172.92
4/10/2015,174.37
4/13/2015,173.13
4/14/2015,171.5
4/15/2015,169.52
4/16/2015,169.24
4/17/2015,168
4/20/2015,169.06
4/21/2015,169.91
4/22/2015,170.01
4/23/2015,170.1
4/24/2015,169.95
4/27/2015,169.03
4/28/2015,171.24
4/29/2015,169.57
4/30/2015,169.57
5/1/2015,171.73
5/4/2015,172.33
5/5/2015,169.81
5/6/2015,169.56
5/7/2015,171.74
5/8/2015,173.35
5/11/2015,174.2
5/12/2015,173.42
5/13/2015,171.93
5/14/2015,173.45
5/15/2015,175.14
5/18/2015,177.18
5/19/2015,177.98
5/20/2015,177.52
5/21/2015,176.55
5/22/2015,175.18
5/26/2015,174.11
5/27/2015,176.66
5/28/2015,175.1
5/29/2015,173.22
6/1/2015,175.37
6/2/2015,175.72
6/3/2015,179.92
6/4/2015,179.63
6/5/2015,182.24
6/8/2015,179.89
6/9/2015,180.37
6/10/2015,182.32
6/11/2015,184.98
6/12/2015,183.63
6/15/2015,182.66
6/16/2015,182.13
6/17/2015,176.73
6/18/2015,178.39
6/19/2015,175.94
6/22/2015,176.28
6/23/2015,175.27
6/24/2015,173.42
6/25/2015,172.8
6/26/2015,173.66
6/29/2015,171.02
6/30/2015,170.4
7/1/2015,169.81
7/2/2015,171.13
7/6/2015,168.75
7/7/2015,170.34
7/8/2015,166.99
7/9/2015,167.71
7/10/2015,168.46
7/13/2015,170.97
7/14/2015,171.24
7/15/2015,169.13
7/16/2015,169.49
7/17/2015,170.23
7/20/2015,170.21
7/21/2015,170.56
