Date,fdx
1/4/2021,253.19
1/5/2021,253.18
1/6/2021,253.56
1/7/2021,246.03
1/8/2021,244.96
1/11/2021,245.31
1/12/2021,249.04
1/13/2021,252.22
1/14/2021,256.27
1/15/2021,252.56
1/19/2021,249.52
1/20/2021,251.96
1/21/2021,253.94
1/22/2021,254.08
1/25/2021,253.48
1/26/2021,249.67
1/27/2021,242.83
1/28/2021,242.79
1/29/2021,235.34
2/1/2021,239.24
2/2/2021,242.5
2/3/2021,241.29
2/4/2021,248.12
2/5/2021,255.01
2/8/2021,257.45
2/9/2021,259.13
2/10/2021,257.46
2/11/2021,254.36
2/12/2021,263
2/16/2021,261.83
2/17/2021,259.09
2/18/2021,255.63
2/19/2021,254.64
2/22/2021,254.67
2/23/2021,254.63
2/24/2021,260.06
2/25/2021,254.22
2/26/2021,254.5
3/1/2021,262.09
3/2/2021,259.6
3/3/2021,258.77
3/4/2021,250.3
3/5/2021,257.29
3/8/2021,251.34
3/9/2021,257.92
3/10/2021,260.42
3/11/2021,268.49
3/12/2021,270.2
3/15/2021,266.88
3/16/2021,260.8
3/17/2021,265.84
3/18/2021,263.51
3/19/2021,279.58
3/22/2021,274.02
3/23/2021,266.81
3/24/2021,268.29
3/25/2021,274.18
3/26/2021,281.34
3/29/2021,279.22
3/30/2021,285.92
3/31/2021,284.04
4/1/2021,283.54
4/5/2021,281.57
4/6/2021,282.17
4/7/2021,279.11
4/8/2021,284.44
4/9/2021,286.58
4/12/2021,290.79
4/13/2021,290.89
4/14/2021,287.81
4/15/2021,291.2
4/16/2021,287.59
4/19/2021,283.25
4/20/2021,280.34
4/21/2021,278.26
4/22/2021,276.54
4/23/2021,277.74
4/26/2021,275.76
4/27/2021,287.51
4/28/2021,287.39
4/29/2021,296.06
4/30/2021,290.31
5/3/2021,304.55
5/4/2021,304.28
5/5/2021,306.53
5/6/2021,310.96
5/7/2021,314.69
5/10/2021,309.27
5/11/2021,305.64
5/12/2021,296.01
5/13/2021,303.4
5/14/2021,309.43
5/17/2021,309.26
5/18/2021,306.05
5/19/2021,307.93
5/20/2021,309.05
5/21/2021,309.6
5/24/2021,311.84
5/25/2021,308.59
5/26/2021,310.75
5/27/2021,315.59
5/28/2021,314.81
6/1/2021,310.85
6/2/2021,306.57
6/3/2021,306.31
6/4/2021,302.12
6/7/2021,303.34
6/8/2021,302.58
6/9/2021,293.11
6/10/2021,292.84
6/11/2021,296.09
6/14/2021,292.99
6/15/2021,299.3
6/16/2021,294.68
6/17/2021,287.57
6/18/2021,285.32
6/21/2021,293.16
6/22/2021,297.69
6/23/2021,297.37
6/24/2021,303.69
6/25/2021,291.95
6/28/2021,293.99
6/29/2021,297.89
6/30/2021,298.33
7/1/2021,299.12
7/2/2021,299.38
7/6/2021,294.61
7/7/2021,293.55
7/8/2021,293.24
7/9/2021,296.4
7/12/2021,299.67
7/13/2021,299.08
7/14/2021,295.86
7/15/2021,296.08
7/16/2021,292.49
7/19/2021,294.82
7/20/2021,298.02
7/21/2021,298.35
7/22/2021,296.62
7/23/2021,297.07
7/26/2021,297.5
7/27/2021,282.63
7/28/2021,281.83
7/29/2021,281.92
7/30/2021,279.95
8/2/2021,276.16
8/3/2021,280.81
8/4/2021,275.12
8/5/2021,275.8
8/6/2021,276.27
8/9/2021,272.67
8/10/2021,271.26
8/11/2021,276.27
8/12/2021,276.1
8/13/2021,277.18
8/16/2021,281.66
8/17/2021,277.86
8/18/2021,272.76
8/19/2021,267.56
8/20/2021,266.55
8/23/2021,266.9
8/24/2021,267.81
8/25/2021,270.37
8/26/2021,267.46
8/27/2021,267.9
8/30/2021,265.54
8/31/2021,265.69
9/1/2021,265.93
9/2/2021,267.09
9/3/2021,266.04
9/7/2021,263.64
9/8/2021,261.02
9/9/2021,259.22
9/10/2021,257.55
9/13/2021,261.86
9/14/2021,255.2
9/15/2021,256.59
9/16/2021,258.38
9/17/2021,255.22
9/20/2021,250.8
9/21/2021,252.07
9/22/2021,229.08
9/23/2021,228.92
9/24/2021,226.64
9/27/2021,226.51
9/28/2021,222.4
9/29/2021,221.09
9/30/2021,219.29
10/1/2021,222.53
10/4/2021,217.87
10/5/2021,224.27
10/6/2021,224.2
10/7/2021,222.95
10/8/2021,223.44
10/11/2021,219.82
10/12/2021,221.32
10/13/2021,223.73
10/14/2021,227.45
10/15/2021,229.12
10/18/2021,227.98
10/19/2021,229.32
10/20/2021,231.3
10/21/2021,232.84
10/22/2021,232.98
10/25/2021,235.4
10/26/2021,237.83
10/27/2021,235.29
10/28/2021,235.96
10/29/2021,235.53
11/1/2021,235.64
11/2/2021,235.77
11/3/2021,240.02
11/4/2021,245.01
11/5/2021,242.77
11/8/2021,248.53
11/9/2021,249.48
11/10/2021,248.52
11/11/2021,250.99
11/12/2021,253.88
11/15/2021,252.3
11/16/2021,253.18
11/17/2021,247.35
11/18/2021,244.72
11/19/2021,242.69
11/22/2021,247.99
11/23/2021,246.43
11/24/2021,243.57
11/26/2021,238.15
11/29/2021,240.57
11/30/2021,230.37
12/1/2021,227.78
12/2/2021,235.3
12/3/2021,240.84
12/6/2021,245.05
12/7/2021,247.06
12/8/2021,244.75
12/9/2021,245.25
12/10/2021,246.28
12/13/2021,240.9
12/14/2021,240.04
12/15/2021,240.78
12/16/2021,238.52
12/17/2021,250.32
12/20/2021,245.55
12/21/2021,251.95
12/22/2021,249.96
12/23/2021,253.82
12/27/2021,256.25
12/28/2021,256.44
12/29/2021,257.49
12/30/2021,258.56
