Date,googl
1/4/2021,1726.13
1/5/2021,1740.05
1/6/2021,1722.88
1/7/2021,1774.34
1/8/2021,1797.83
1/11/2021,1756.29
1/12/2021,1737.43
1/13/2021,1747.25
1/14/2021,1730.92
1/15/2021,1727.62
1/19/2021,1784.47
1/20/2021,1880.07
1/21/2021,1884.15
1/22/2021,1892.56
1/25/2021,1894.28
1/26/2021,1907.95
1/27/2021,1818.94
1/28/2021,1853.2
1/29/2021,1827.36
2/1/2021,1893.07
2/2/2021,1919.12
2/3/2021,2058.88
2/4/2021,2053.63
2/5/2021,2088.83
2/8/2021,2084.52
2/9/2021,2075.39
2/10/2021,2086.48
2/11/2021,2088.75
2/12/2021,2095.03
2/16/2021,2110.7
2/17/2021,2118.62
2/18/2021,2105.81
2/19/2021,2088.81
2/22/2021,2054.26
2/23/2021,2060.12
2/24/2021,2083.81
2/25/2021,2015.95
2/26/2021,2021.91
3/1/2021,2069.66
3/2/2021,2064.48
3/3/2021,2011.41
3/4/2021,2033.93
3/5/2021,2097.07
3/8/2021,2007.5
3/9/2021,2040.36
3/10/2021,2036.19
3/11/2021,2100.54
3/12/2021,2050
3/15/2021,2054.44
3/16/2021,2083.89
3/17/2021,2082.22
3/18/2021,2021.34
3/19/2021,2026.96
3/22/2021,2030.69
3/23/2021,2041.33
3/24/2021,2032.53
3/25/2021,2032.46
3/26/2021,2024.73
3/29/2021,2045.79
3/30/2021,2046.47
3/31/2021,2062.52
4/1/2021,2129.78
4/5/2021,2218.96
4/6/2021,2209.26
4/7/2021,2239.03
4/8/2021,2250.43
4/9/2021,2270.67
4/12/2021,2244.62
4/13/2021,2254.43
4/14/2021,2241.91
4/15/2021,2285.25
4/16/2021,2282.75
4/19/2021,2289.76
4/20/2021,2279.01
4/21/2021,2278.35
4/22/2021,2252.52
4/23/2021,2299.93
4/26/2021,2309.93
4/27/2021,2290.98
4/28/2021,2359.04
4/29/2021,2392.76
4/30/2021,2353.5
5/3/2021,2343.08
5/4/2021,2306.83
5/5/2021,2314.77
5/6/2021,2337.35
5/7/2021,2351.93
5/10/2021,2291.75
5/11/2021,2270.06
5/12/2021,2200.25
5/13/2021,2229.04
5/14/2021,2278.38
5/17/2021,2288.92
5/18/2021,2262.47
5/19/2021,2271.5
5/20/2021,2306.95
5/21/2021,2294.13
5/24/2021,2361.04
5/25/2021,2362.87
5/26/2021,2380.31
5/27/2021,2362.68
5/28/2021,2356.85
6/1/2021,2381.18
6/2/2021,2370.59
6/3/2021,2347.58
6/4/2021,2393.57
6/7/2021,2402.3
6/8/2021,2398.44
6/9/2021,2407.94
6/10/2021,2435.13
6/11/2021,2430.2
6/14/2021,2448.91
6/15/2021,2428.39
6/16/2021,2415.45
