Date,v
1/4/2021,217.76
1/5/2021,214.51
1/6/2021,212.62
1/7/2021,213.81
1/8/2021,215.45
1/11/2021,212.89
1/12/2021,208.86
1/13/2021,209.35
1/14/2021,201.86
1/15/2021,201.59
1/19/2021,201.66
1/20/2021,206.01
1/21/2021,205.14
1/22/2021,202.02
1/25/2021,200.98
1/26/2021,202.01
1/27/2021,194.97
1/28/2021,198.22
1/29/2021,193.25
2/1/2021,198.36
2/2/2021,202.61
2/3/2021,201.36
2/4/2021,209.25
2/5/2021,208.77
2/8/2021,206.89
2/9/2021,206.52
2/10/2021,206.44
2/11/2021,210.66
2/12/2021,209.96
2/16/2021,207.9
2/17/2021,207.51
2/18/2021,209.35
2/19/2021,204.73
2/22/2021,208.32
2/23/2021,212.11
2/24/2021,219.43
2/25/2021,213.75
2/26/2021,212.39
3/1/2021,216.63
3/2/2021,215.77
3/3/2021,214.85
3/4/2021,211.5
3/5/2021,215.41
3/8/2021,220.27
3/9/2021,220.36
3/10/2021,223.17
3/11/2021,226.15
3/12/2021,224.36
3/15/2021,223.27
3/16/2021,224.7
3/17/2021,223.02
3/18/2021,220.66
3/19/2021,206.9
3/22/2021,208
3/23/2021,208.15
3/24/2021,208.07
3/25/2021,207.97
3/26/2021,213.53
3/29/2021,214.51
3/30/2021,211.9
3/31/2021,211.73
4/1/2021,216.86
4/5/2021,219.04
4/6/2021,218.65
4/7/2021,219.27
4/8/2021,220.7
4/9/2021,222.52
4/12/2021,221.47
4/13/2021,221.02
4/14/2021,221.98
4/15/2021,226.28
4/16/2021,226.41
4/19/2021,225.79
4/20/2021,223.28
4/21/2021,227.45
4/22/2021,227.57
4/23/2021,230
4/26/2021,230.34
4/27/2021,229.91
4/28/2021,233.45
4/29/2021,236.86
4/30/2021,233.56
5/3/2021,232.61
5/4/2021,232.03
5/5/2021,229.21
5/6/2021,231.32
5/7/2021,232.12
5/10/2021,225.97
5/11/2021,225.48
5/12/2021,220.63
5/13/2021,223.74
5/14/2021,226.94
5/17/2021,226.44
5/18/2021,225.57
5/19/2021,224.59
5/20/2021,226.44
5/21/2021,226.77
5/24/2021,229.32
5/25/2021,229.02
5/26/2021,227.07
5/27/2021,226.86
5/28/2021,227.3
6/1/2021,226.63
6/2/2021,229.66
6/3/2021,228.11
6/4/2021,230.14
6/7/2021,231.32
6/8/2021,232.05
6/9/2021,232.31
6/10/2021,233.95
6/11/2021,234.96
6/14/2021,234.08
6/15/2021,232.98
6/16/2021,229.6
6/17/2021,232.15
6/18/2021,230.41
6/21/2021,234.32
6/22/2021,235.93
6/23/2021,234.68
6/24/2021,236.24
6/25/2021,237.32
6/28/2021,234.09
6/29/2021,235.95
6/30/2021,233.82
7/1/2021,235.15
7/2/2021,238.63
7/6/2021,239.6
7/7/2021,240
7/8/2021,236.61
7/9/2021,238.47
7/12/2021,237.87
7/13/2021,242.35
7/14/2021,245.99
7/15/2021,248.55
7/16/2021,248.12
7/19/2021,240.41
7/20/2021,242.7
7/21/2021,243.66
7/22/2021,244.14
7/23/2021,249.02
7/26/2021,250.25
7/27/2021,250.93
7/28/2021,246.94
7/29/2021,247.92
7/30/2021,246.39
8/2/2021,239.78
8/3/2021,237.09
8/4/2021,236.67
8/5/2021,240.21
8/6/2021,241.4
8/9/2021,240
8/10/2021,238.07
8/11/2021,235.06
8/12/2021,231.79
8/13/2021,232.65
8/16/2021,235.36
8/17/2021,234.53
8/18/2021,231.63
8/19/2021,231.57
8/20/2021,231.36
8/23/2021,234.14
8/24/2021,234.24
8/25/2021,232.59
8/26/2021,230.52
8/27/2021,232.69
8/30/2021,231.23
8/31/2021,229.1
9/1/2021,230.12
9/2/2021,224.18
9/3/2021,225.11
9/7/2021,226.27
9/8/2021,229.09
9/9/2021,227.49
9/10/2021,224.91
9/13/2021,224.63
9/14/2021,223.03
9/15/2021,223.81
9/16/2021,224.33
9/17/2021,221.75
9/20/2021,220.05
9/21/2021,220.17
9/22/2021,222.75
9/23/2021,228.31
9/24/2021,231.59
9/27/2021,229.6
9/28/2021,225.56
9/29/2021,226.68
9/30/2021,222.75
10/1/2021,230.46
10/4/2021,224.73
10/5/2021,224.28
10/6/2021,226.51
10/7/2021,230.55
10/8/2021,230.27
10/11/2021,225.11
10/12/2021,224.05
10/13/2021,222.46
10/14/2021,225.18
10/15/2021,230.99
10/18/2021,230.65
10/19/2021,233.52
10/20/2021,231.42
10/21/2021,230.24
10/22/2021,231.23
10/25/2021,233.88
10/26/2021,231.82
10/27/2021,215.78
10/28/2021,209.84
10/29/2021,211.77
11/1/2021,212.46
11/2/2021,209.14
11/3/2021,208.1
11/4/2021,208.78
11/5/2021,216.67
11/8/2021,220.49
11/9/2021,220.49
11/10/2021,215.56
11/11/2021,210.42
11/12/2021,212.09
11/15/2021,212.3
11/16/2021,215.18
11/17/2021,205.06
11/18/2021,203.33
11/19/2021,200.86
11/22/2021,195.58
11/23/2021,198.49
11/24/2021,203.25
11/26/2021,197.65
11/29/2021,196.29
11/30/2021,193.77
12/1/2021,190.16
12/2/2021,198.29
12/3/2021,196.32
12/6/2021,202.68
12/7/2021,207.37
12/8/2021,208.99
12/9/2021,211.39
12/10/2021,213.4
12/13/2021,211.02
12/14/2021,209.98
12/15/2021,212.31
12/16/2021,214.37
12/17/2021,211.88
12/20/2021,208.74
12/21/2021,215.38
12/22/2021,217.96
12/23/2021,216.62
12/27/2021,217.63
12/28/2021,218.05
12/29/2021,218.17
12/30/2021,217.87
